"Company Name",Address,Place,Zip,Sector,Product,Website,Region
"AC Solar Inc","P.O. Box 128","Florence, Colorado",81226,Solar,"Solar and wind sales for residential",http://www.acsolar.com/,"Rockies Area"
"ACME solar works","20738 Brown Lane","Summerdale, Alabama",36580,Solar,"Solar power systems, products",http://www.acmesolarworks.net/,
ACS,,"Madrid, Spain",28036,Solar,"Madrid based construction company involved in the development of solar thermal projects.",,
"ACSolar XXI SLL",,"31110 NoÃ¡in, Spain",,Solar,"Assesment, design, installation and maintenence of passive energy saving and solar energy systems for domestic use.",,
"ADAPT Elektronik GmbH",,"Grobheubach, Germany",63920,Solar,"Germany-based manufacturer of electronic connector components. The firm produces PV junction boxes for solar projects.",,
"ADI Wind, llc.","4686 French Creek Road","Sheffield Village, Ohio",44054,"Renewable Energy,Solar,Wind energy","Agriculture,Consulting,Energy audits/weatherization,Energy provider: energy transmission and distribution,Energy provider: power production,Engineering/architectural/design,Manufacturing,Raw materials/extraction,Research and development",http://www.adiwind.com,
"ADL Ventures","125 Northgate St
Redwood City, CA 94062","United States,Redwood City, California",940652,"Solar,Renewable Energy,Services",,http://adlventures.com/,
"AE Polysilicon Corporation AE",,"Chatham, New Jersey",7928,Solar,"New Jersey-based polysilicon manufacturer for solar and semiconductor sectors.",,
"AEE Solar","1155 Redway Drive
PO Box 339","Redway, California",95560,Solar,,http://www.aeesolar.com/,"Bay Area"
"AEE Solar Inc formerly Alternative Energy Engineering",,"Redway, California",95560,"Hydropower,Solar,Wind energy","US-based wholesale distributor of solar, wind and hydroelectric systems, parts and components.",,
"AES Corporation",,"Arlington, Virginia",22203,"Biomass,Carbon,Solar,Wind energy","Virginia-based company that generates and distributes electrical power. The company has investments in various wind, biomass, carbon offset, solar and power storage projects.",,
"AET Alternative Energie Technik GmbH",,"Sulzbach-Neuweiler, Saarland, Germany",66280,Solar,"An independent solar module and system wholesaler.",,
"AET Italy",,Italy,,Solar,"Italy-basaed, subsidiary of AET involed in the marketing of solar modules in Italy.",,
"AHEAD Energy Corporation","285 Metro Park, Rochester, NY 14623","Rochester, New York,United States",14623,"Renewable Energy,Services,Solar",,http://www.aheadenergy.org/,
"AIXTRON AG",,"Aachen, North Rhine-Westphalia, Germany",52072,Solar,"AIXTRON AG is a provider of deposition equipment to the semiconductor industry. Their equipment is used in the manufacture of LEDs, germanium and GaAs solar cells and OLEDs.",,
"ALDACOR INC","1820 E. 17th St
Suite 260","United States,Idaho Falls, ID",83404,"Geothermal energy,Hydropower,Renewable Energy,Services,Solar,Wind energy",,http://www.aldacor.com,
"AMB Apparate Maschinenbau GmbH",,"Langweid, Germany",86462,Solar,"Germany-based firm that offers automation technology for the solar industry, focussing on wafer handling.",,
"AMECO Solar","7623 Somerset Blvd.","Paramount, California,United States",90723,Solar,,http://www.solarexpert.com,
AMSOLAR,"415 S. Cedros Avenue, Suite 200","Solana Beach, California",92075,Solar,"US-based engineering contractor provides all of the engineering, installation, operation and maintenance of the solar energy facility.",http://www.amsolarcorp.com/,
"ANV Partners",,"Denver, Colorado",80202,"Hydropower,Hydrogen,Services,Solar,Wind energy","ANVP is an independent investment banking firm providing capital raising and M&A advisory services with a focus on serving clients in the energy sector: fuel hedging strategies, energy technology commercialization, coal-gasification, ethanol, wind, mini-hydro, solar, bio-diesel, alternative fuels, hydrogen, electricity generation, CHP, aviation fuels, battery, and power storage technologies.",,
"APOLO Solar","Paseo de la Castellana, 164-166 1º","Madrid, Spain",,Solar,"PV, solar thermal",http://www.apolosolar.es/index.php,
"APT spol. s r.o.","Poděbradská 470/62; Praha 9; 19800; Czech Republic","Prague, Prague 9,Czech Republic",19800,"Hydrogen,Renewable Energy,Services,Solar,Vehicles","hydrogen filling stations,technical gasses filling",http://www.apt.cz,
ARKASA,"3322 Gondar Ave","Long Beach, CA,United States",90808,Solar,,https://www.arkasa.co/,
"AS Solar","Am Tönniesberg 4A","Hannover, Germany",,Solar,"PV, solar thermal",http://www.as-solar.com/index.php?lang=en,
"AS Solar GmbH",,"Niedersachsen, Lower Saxony, Germany",,Solar,"AS Solar is a German integrated solar energy systems wholeseller that maintains a strategic focus on Germany, Italy, and Spain.",,
"ASU Solar Power Laboratory",,"Tempe, Arizona,United States",,"Renewable Energy,Solar",,https://pv.asu.edu,
"ASYS EKRA Automatisierungstechnik GmbH",,"Dornstadt, Germany",89159,Solar,"ASYS/EKRA Automatisierungstechnik is a German screen printers manufacturer, for crystalline silicon solar cell production.",,
"ATS Solar System",,"Gwangju, Korea (Republic)","751-18,",Solar,"Manufactures solar modules in Korea.",,
"AWSL The Remington Group JV",,"Ontario, Canada",,Solar,"Canada-based JV to install rooftop solar panels.",,
"AYT Group",,"Antalya, Turkey",,Solar,"Turkey-based construction and property development firm. The firm is a developer of a solar manufacturing plant.",,
"Abasol SA",,"Madrid, Spain",28026,Solar,"Engineering, design and development consultancy for solar projects.",,
"Abastecimientos Energeticos SL Abaste",,"Madrid, Spain",28020,Solar,"Solar project developer.",,
"Abencs Engineering Pvt Ltd",,"Mumbai, Maharashtra, India",,Solar,"Mumbai-based subsidiary of Abengoa, involved in areas of energy, transportation and telecommunication. The firm is also involved in the solar and bio energy sectors.",,
"Abengoa SA",,"Seville, Spain",41018,"Bioenergy,Solar","Construction, biofuel, solar and power company - parent of Abengoa Bioenergia, Abengoa Bioenergy Corp, and Solucar.",,
"Abengoa Seapower","C/Energía Solar nº 1
Palmas Altas, Seville 41014",Spain,,"Renewable Energy,Biomass,Hydrogen,Marine Energy,Solar,Transmission,Wind energy",,http://www.abengoa.com/web/en/,
"Abengoa Solar","11500 W 13th Ave","Lakewood, Colorado",80215,Solar,"Solar developer",http://www.abengoasolar.com/,"Rockies Area"
"Abhinav Futuristics Ltd",,"Chandigarh, Punjab, India",1600034,"Solar,Wind energy","Punjab-based producer of PC gaming peripherals. Abhinav Futuristics is planning to set up wind and solar projects.",,
"Ablamp Limited",,"Nanhai, Guangdong Province, China",,Solar,"Manufacturer of energy-saving Compact Fluorescent Light Bulbs, solar-powered lights, LED bulbs, auto lamps and other speciality lamps.",,
"Able Energy Co.","265 Mound View Rd.","River Falls, Wisconsin",54022,"Renewable Energy,Services,Solar,Vehicles","Solar EPC Contractor",http://www.weknowsolar.com,
"Abound Solar","2695 Rocky Mountain Avenue, Suite 100","Loveland, Colorado",80538,Solar,"Thin-film cadmium telluride solar modules",http://www.abound.com,"Rockies Area"
"Abundant Energy","15074 Park of Commerce Blvd","Jupiter, Florida,United States",33478,Solar,,http://www.abundantenergy.com,
"Abundant Renewable Energy ARE",,"Newberg, Oregon",97132,"Solar,Wind energy","Oregon-based provider of wind turbines, wind towers and dealers for wind turbines as well as solar passive heating systems.",,
AccelerateH2O,"250 Treeline Park, Suite 303","San Antonio, Texas,United States",78209,"Buildings,Solar,Geothermal,Gateway:Water Power",,https://www.accelerateh2o.org/,
"Access Solar Energy LLC",,"Park CIty, Utah",84060,"Renewable Energy,Solar","Utah-based developers of renewable energy projects, primarily focused on the development utility scale solar power facilities.",,
"Acciona Energia",,"Sarriguren, Spain",31621,"Biomass,Hydropower,Solar,Wind energy","Sarriguren-based active developer of wind power projects, but also acting in the biomass & waste, mini-hydro, & solar sectors and is a subsidiary of Acciona SA.",,
"Acciona SA",,"Madrid, Spain",20108,"Biofuels,Biomass,Hydropower,Solar,Wind energy","Madrid-headquartered company that specialises in infrastructure, civil engineering, & construction. Active in clean energy as a developer & operator of biofuels, biomass & waste, mini-hydro, solar, & wind projects.",,
"Acme Energy Solutions Pvt Ltd",,"Gurgaon, Haryana, India",122001,Solar,"Gurgaon-based subsidiary of Acme Group involved in development of solar projects.",,
"Acorn Technology Corporation","23103 Miles Road","Cleveland, Ohio",44128,"Biofuels,Services,Solar,Wind energy",,http://acorntechnology.com,
"Acquasol Infrastructure Limited",,"Adelaide, South Australia, Australia",5000,Solar,"Adelaide based solar thermal project and technology developer.",,
"Acro Energy","598 S. Sierra Ave.","Oakdale, California",95361,Solar,"solar energy systems",http://acroenergy.com/,"Bay Area"
"Acro Energy Technologies formerly Lonestar Capital",,"Oakdale, California",95361,Solar,"California-based full service electrical contractor specializing in solar Energy, backup power, and power conditioning systems.",,
"Acro Solar Lasers",,"El Paso, Texas",79936,Solar,"Makes solar water heating devices based on parabolic dish concentrators.",,
"Acrux Bt",,"KecskemÃ©t, Hungary",6000,Solar,"Acrux designs solar systems for households.",,
"Act Solar Inc",,"Santa Clara, California",,Solar,"California-based solar micro-inverter manufacturer and power management technology company.",,
"Activ Solar","Vienna, Wipplingerstrasse 35",Austria,1010,Solar,"The company's main business areas include production of silicon products and development of large-scale photovoltaic installations.",,
"Adani Enterprises Ltd",,"Ahmedabad, Gujarat, India","380 009","Efficiency,Solar","Ahmedabad-based BSE listed firm specialising in energy, agriculture, mining, infrastructure and logistics. Through its subsidiary Adani Power Ltd. develops efficiency and solar projects.",,
"Adelaide Solar Citizens Consortium",,Australia,,Solar,"A consortium comprising Origin Energy, BP Solar, ANZ, Delfin Lend Lease, Big Switch and the local councils of Adelaide City, Playford, Salisbury & Tea Tree Gully, that as won the tender for the Adelaide Solar City project",,
"Aditya Solar Power Industries",,India,,Solar,"Bangalore-based solar project developer.",,
"Adobe Solar",,"Denver, Colorado",,Solar,"solar electric systems",http://www.adobesolar.com,"Rockies Area"
"Advance Power Co",,"Calpella, California",95418,"Hydropower,Solar,Wind energy","Distributor of stand alone and backup power systems based on solar, hydro, wind and fuel cell energy.",,
"Advanced Distributed Generation LLC","200 West Scott Park Drive, MS # 410","Toledo, Ohio",43607,Solar,"Agriculture,Consulting,Installation,Maintenance and repair,Retail product sales and distribution",http://www.advanced-dg.com,
"Advanced Energy","1625 Sharp Point Drive","Fort Collins, Colorado",80525,Solar,"Solar cell, passive-solar architectural glass, solar grid-tie inverter, semiconductor, flat panel display, data storage",http://www.advanced-energy.com/,"Rockies Area"
"Advanced Energy Industries Inc",,"Fort Collins, Colorado",80525,Solar,"US-based manufacturer of power conversion and control systems for the semiconductor and solar industries. The company also manufactures PV inverters and accessories.",,
"Advanced Energy Solutions","192 Gates Road","Pomona, Illinois",62975,Solar,,http://www.aessolar.com/,
"Advanced Energy Systems LLC","1428 S. Humboldt Stree","Denver, Colorado,United States",80210,"Renewable Energy,Solar,Wind energy","Distributed Wind Installation",https://aesrenewables.com/,
"Advanced Energy Systems Ltd",,"Welshpool, Western Australia, Australia",6016,"Solar,Wind energy","Manufacturer and distributor of micro wind turbines, solar systems, gas generators and balance of plant. Currently undergoing restructuring.",,
"Advanced Solar LLC.","139 E. Lincoln Street","Westerville, Ohio",43081,"Geothermal energy,Renewable Energy,Solar,Wind energy","Agriculture,Consulting,Engineering/architectural/design,Installation,Maintenance and repair",http://advancedsolaroh.com,
"Advanced Solar Power ASP",,Israel,,Solar,"Involved in the development and manufacturing of innovative solar energy solutions.",,
"Advanced Solar Power Inc.",,"New York, New York",,Solar,"Solar electric systems, solar hot water",http://solarli.com/index.html,"Northeast - NY NJ CT PA Area"
"Advanced Solar Technologies Inc",,"San Diego, California",,Solar,"California-based domestic and commercial designer and installer of solar energy equipment.",,
"Advanced Technology and Materials Co Ltd AT M",,"Beijing, Beijing Municipality, China",100081,Solar,"Materials research company with a programme working on thin-film copper indium sulphate solar PV cells.",,
"Advantage Solar Inc",,California,92394,Solar,"Dealer in solar equipment and consultant in maintaining installed solar equipment.",,
Aerojet,,"Sacramento, California",95813,Solar,"California-based defense and aerospace company. The firm is also an owner of solar PV system on facilities.",,
Aerowatt,,"Ingre, France",45140,"Solar,Wind energy","A France-based integrated wind and solar energy producer.",,
"Aerowatt Energies",,France,,"Solar,Wind energy","France-based joint venture established to develop wind and solar projects in French territories.",,
"Affirma Energia Solar",,"Madrid, Spain",28046,Solar,"Spain-based that is involved with the engineering and development of solar projects.",,
"Affordable Energy Concepts, Inc.","161 Dillard Road","Madison Heights, Virginia,United States",24572,"Renewable Energy,Solar,Wind energy","Distributed Wind Installation",https://affordableenergyconcepts.com/,
"Affordable Solar Group","2501 Yale Blvd. SE STE 105","Albuquerque, New Mexico",87106,Solar,"Renewable energy products and services",http://www.affordable-solar.com/,
"Affordable Solar Hot Water and Power LLC",,"Dothan, Alabama",36305,Solar,"Solar and Energy Efficiency for buildings and homes",http://www.asolarpro.com,
"Afghan Solar","No: 2, Dr. Abdullah Road, Near Power Station, Baharistan","Kabul,Afghanistan",,Solar,"Solar power systems installer and distributor, including solar powered street lights, inverters and batteries.",http://www.afghansolar.com/,
"African Energy",,"Scottsdale, Arizona",85267,Solar,"African Energy is a wholesale distributor of back-up and solar power equipment, exclusively for Africa.",,
"Agenera, LLC","P.O. Box 15544","Phoenix, Arizona",85060,Solar,"Solar energy systems",http://www.agenera.com/,
"Agni Solar Systems Pvt. Ltd.","702 Onyx, North Main Road,  Koregoan Park","Pune, Maharashtra,India",411014,"Renewable Energy,Services,Solar","Solar Water Heater,Solar Electricity System,Rooftop Solar Panels installation,Solar Lamps,Solar Lanterns,Solar Cooker,Solar Inverters,Solar Weter Pumping System,Solar Street Light,Solar Pool Heating System,Solar Water Distiller",http://agnisolar.com,
Agrufoto,,Spain,,Solar,"A Spanish consultancy firm that is developing a solar PV plant in Caceres, Spain.",,
"Aha Macav Power Service Inc AMPS",,"Mohave Valley, Arizona",86446,Solar,"Tribal utility, conducting a pre-feasibility study with Enviromission to build a solar thermal electricity generating chimney.",,
"Ahmed Salem Bugshan Group ASB",,"Saudi Arabia",,Solar,"Saudi Arabia-based solar project developer.",,
"Ahura Energy Concentrating Systems Inc.",,"San jose",95134,"Renewable Energy,Solar","CPV, CST and Hybrid CPV and CST",,
"Ahura Energy Inc",,"Saratoga, California",95070,"Efficiency,Solar","Ahura Energy is a privately held corporation formed in 2006 seeking to raise early stage venture capital financing. The company is developing a low-cost, high efficiency solar/thermal concentrating system.",,
"Airon Group Spa",,"Florence, Italy",50122,"Solar,Wind energy","Florence-based strategy and management control planning firm. The firm has invested and advised in solar and wind energy.",,
"Airvoice Group",,"Gurgaon, Haryana, India",122001,"Services,Solar,Wind energy","Holding company with interest in tele-solutions, petrochemicals and services business. The firm, via its subsidiary Airvoice Green Energy, plans to set up solar and wind projects.",,
"Airvoice SJVNL JV",,India,,"Solar,Wind energy","India-based JV to develop wind and solar projects.",,
"Akeena Solar","16005 Los Gatos Blvd.","Los Gatos, California",95032,Solar,"Solar power systems, products",http://www.akeena.com/,
"Akeena Solar Inc",,"Los Gatos, California","CA 95032",Solar,"Residential and commercial solar electric system installer in the US.",,
"Akis Energy",,"Istanbul, Turkey",,"Solar,Wind energy","Istanbul-based energy division of the Akis Group and developer of turn-key solar and wind projects.",,
"Akrion Inc",,"Allentown, Pennsylvania",18106,Solar,"US-based manufacturer of surface preparation equipment for semiconductor industry,offers also to solar.",,
"Akuo Energy","140 av. des Champs-Élysées
75008 Paris","Paris, France,France",,"Biomass,Hydropower,Renewable Energy,Solar,Wind energy,Marine Energy","Developer in and investor in renewable projects, most notably a BIPV project in France. Also plans to invest in solar, wind, hydro, bioethanol and biomass.",https://www.akuoenergy.com/,
"Al Husseini Amelio JV",,Jordan,,Solar,"JV company to develop a 1GW solar plant in Jordan and an integrated 200MW thin-film module factory.",,
"Alex New Energy Ltd Shanghai Alex New Energy",,"Shanghai, Shanghai Municipality, China",201401,Solar,"Solar startup in Shanghai manufacturing PV cells and modules.",,
"Alfasolar Vertriebsgesellschaft mbH",,"Hannover, Lower Saxony, Germany",30169,Solar,"Alfasolar Vertriebsgesellschaft mbH is a manufacturer, and installer of PV modules and appropriate framework, cables and equipment for network supply.",,
"Algatec Solar AG",,"RÃ¶derland Ortsteil PrÃ¶sen, Brandenburg, Germany",D-04932,Solar,"Germany-based PV solar module manufacturer.",,
"Alice Solar City Consortium",,"Alice Springs, Northern Territory, Australia","NT 0871",Solar,"A consortium repsonsible for developing the Solar City programme in the Northern Territories, Australia.",,
"Aliwin Plus SL",,Spain,,"Renewable Energy,Solar","Aliwin was created in April 2006 for the promotion, development, construction and management of renewable energy farms (with a apecial focus in solar farms).",,
"All Energy Solar, Inc","1264 Energy Lane, St Paul, MN 55108","St Paul, MN,United States",55108,Solar,,https://www.allenergysolar.com,
"All Solar PV","1407-4-105 Century East,Daliushu Road","Beijing, China",,Solar,"Solar Energy Products",http://www.allsolarpv.com/,
"All Solar Power, Inc.",,"Tampa, Florida",,Solar,,http://www.allsolar.com/,
"All Solar, Inc.","1463 M St","Penrose CO",81240,Solar,,http://www.asolarelectric.com,
"AllSolar Service Company Inc.","1507 Damon Ave.","Kissimmee, Florida",34744,Solar,"solar energy systems",http://www.allsolarflorida.com/,
"AllWest Energy, Inc.","16847 E. Parkview Ave","Fountain Hills, Arizona",85268,Solar,"Solar electric systems",http://www.allwestenergy.com/,
"Allco Renewable Energy Group Limited LLC",,"New York, New York",10005,"Biomass,Solar,Wind energy","A New York City-based wind, solar, and biomass project developer that no longer has any direct ties to Allco Finance Group of Australia or its subsidiaries.",,
"Allied Sun Technologies","6881 Alvarado Road, Suite 4","San Diego, California",92120,Solar,"solar power systems",http://www.alliedsun.com,"Southern CA Area"
"Alpensolar Einkauf GmbH",,"Dietmannsried, Germany",87463,Solar,"Germany-based supplier of solar components and PV junction boxes.",,
"Alpex Exports Pvt Ltd",,"New Delhi, Delhi (NCT), India",,"Solar,Wind energy","Alpex is an international trading company with a diversified product portfolio that recently entered the solar module industry and has developed a small-scale wind farm.",,
"Alpha Technologies",,"Bellingham, Washington State",98226,"Services,Solar","Bellingham (WA)-based firm offering, among other products, power conversion products designed specifically for the PV market, plus installation services for solar systems.",,
"AlphaWatt Ltd",,"London, United Kingdom","EC1V 4PY",Solar,"Solar project developer, plans to become an independent power provider.",,
"Alposol Fotovoltaica",,"Madrid, Spain",,Solar,"Alposol Fotovoltaica specialises in promotion and project administration and development within the solar market.",,
AltE,"43 Broad Street","Hudson, Massachusetts",01749,Solar,"Distributor of renewable energy parts and kits",http://store.altestore.com/,"Greater Boston Area"
"AltPower Inc",,"New York, New York",70420,"Renewable Energy,Solar","A specialist installer of all fields of renewable energy systems but mainly solar.",,
"Alten Energias Renovables Sociedad Limitada formly Solpark",,"Bilbao, Spain",,Solar,"Spanish - based solar project developer",,
"Alten Products Company","2423 Old Middlefield Way Suite J","Mountain View, California,United States",94043-2348,"Renewable Energy,Solar","solar energy products",,"Bay Area"
"Alteno AG",,"Basel, Switzerland",4057,Solar,"Installer of solar PV and passive plants in Basel and Zurich.",,
Altensol,,"Laguna, Philippines",4030,"Renewable Energy,Solar","A Filipino-German engineering company that provides renewable energy solutions such as retailing solar PV modules, inverters, and systems,plans projects, installs, and monitors.",,
"Alteris Renewables","523 Danbury Rd","Wilton, Connecticut",06897,Solar,"Renewable energy systems integrator",http://www.alterisinc.com/index.php,"Northeast - NY NJ CT PA Area"
"Alteris Renewables Inc formerly Solar Works Inc",,"Wilton, Connecticut",,"Renewable Energy,Solar","Connecticut-based renewable energy systems integrator and project developer formed through the merger between Solar Works and SolarWrights.",,
"Alternate Energy LLC","803 Ahua Street","United States,Honolulu, Hawaii",96819,"Services,Solar","Distributer,installs and services solar products.",http://www.alternateenergyhawaii.com/,
"Alternativas Energeticas Solares SA AESOL",,Spain,,Solar,"A company dedicated to the development, installation and promotion of solar power generationg assets.",,
"Alternative Concepts and Technology",,"Orlando, Florida",,Solar,"solar power, water catchments, organic gardening",http://www.alternativeconcepts.org/,
"Alternative Energy Inc",,"Santa Rosa, California",95407,Solar,"Focussed on design and installation of solar PV systems.",,
"Alternative Power Enterprises","P.O. Box 351","Ridgway, Colorado",81432,Solar,"Design cost effective power solutions for on- and off-grid locations",http://www.alternative-power.com/,"Rockies Area"
"Alternative Technologique",,"Nantes, France",44100,"Hydropower,Renewable Energy,Solar,Wind energy","France-based consulting firm specialising in the development of renewable energy, particularly wind, micro-hydro and solar.",,
"Alwitra Flachdach Systeme GmbH Co",,"Trier, Germany",54229,"Buildings,Solar","Develops and markets systems for energy efficient buildings, focusing in particular on solar roofing materials.",,
"Ambient Control Systems","1810 Gillespie Way","El Cajon, California",92020,Solar,"Solar energy device with a computerized energy management",http://www.ambientalert.com/main.html,"Southern CA Area"
"Amcor Solar Energies Ltd",,"Ashdod, Israel",77136,Solar,"Israel-based subsidiary of the Ashtrom Group, producing solar and electrical heating systems for the Israeli and international markets.",,
"Ameco Solar","7623 Somerset Blvd.","Paramount, California,United States",90723,Solar,"Ameco is a licensed solar energy contractor operating principally in Los Angeles and Orange Counties. Ameco designs, installs and repairs solar energy systems for homes and businesses in Southern California. CA State License No. 483280",http://www.solarexpert.com,
"Ameresco, Inc.","111 Speen St, Ste 410","Framingham, Massachusetts",01701,"Biomass,Buildings,Efficiency,Geothermal energy,Renewable Energy,Services,Solar,Wind energy","Energy Services,Energy Consulting,Energy Audits,Electricity Efficiency,Water Efficiency,Weatherization,Engineering/design,Installation,Investment,Finance",http://www.ameresco.com,"Greater Boston Area"
"American Capital Energy","15 Tyngsboro Rd. Suite 4A","North Chelmsford, Massachusetts",01863,Solar,"solar electric systems",http://www.americancapitalenergy.com/,"Greater Boston Area"
"American Energy Power Systems Inc AEPS",,"Sacramento, California",,Solar,"Offered distributed power systems including PV panels, solar water heating, fuel cells and radiant floor heating applications.",,
"American Jobs Project",,"United States,Berkeley, California",94720,"Renewable Energy,Solar,Services",,http://americanjobsproject.us/,
"American Photovoltaics",,"Houston, Texas",77002,Solar,"Will manufacture thin-film solar modules",http://apv-us.com/,"Texas Area"
"American Renewable Energy",,"Evanston, Illinois",60202,"Geothermal energy,Renewable Energy,Solar","American Renewable Energy is a manufacturer and distributor of micro grids, focusing on geothermal, solar, photovoltaic, and solarthermal energy.",,
"American Solar Electric, Inc.","1475 N. Scottsdale Rd., Suite #410","Scottsdale, Arizona",85257,Solar,"Solar electric systems",http://www.americanpv.com/,
"American Solar Energy","11497 Columbia Drive West, Suite 10","Jacksonville, Florida",32258,Solar,"solar energy systems",http://americansolarenergy.com/,
"American Solar Energy Society ASES",,"Boulder, Colorado",80301,Solar,"Dedicated to advancing the use of solar energy for the benefit of U.S. citizens and the global environment.",,
"American Solar Technology","5265 Turquoise Drive","Colorado Springs, Colorado",80918,Solar,"Solar installer",,"Rockies Area"
"American Way Solar AWS",,"Plzen, Czech Republic",,Solar,"Czech subsidiary of US PV panel manufacturer, American Way Solar (AWS).",,
"Americans for Solar Power ASPv",,"Tempe, Arizona",85282,Solar,"Americans for Solar Power (ASPv) strives to make solar power economic and convenient for American electricity consumers to generate and consume their own solar electricity.",,
"Americans for Solar Power PV Manufacturers Alliance ASPv PVMA",,"Tempe, Arizona",85282,Solar,"A non-profit research and education body aimed at creating the right market structures and programs to enable residential, commercial, governmental and industrial electricity consumers to have solar power options.",,
"Ameridian Speciality Services",,"Cincinnati, Ohio",45241,Solar,"Ohio-based general contracting firm that specializes in commercial roof installation. The company is involved in solar PV rooftop design, installation and project management.",,
Amidus,"1450 South Rolling Road, Baltimore MD 21227","Baltimore, Maryland,United States",212277,"Renewable Energy,Services,Solar",,http://amidus.com/,
"Ammini Solar Pvt Ltd",,"Trivandrum, Kerala, India","695 582",Solar,"Kerala-based producer of solar lighting, heating, and cooking products for domestic and commercial use.",,
"Amope s l",,"La CoruÃ±a, Spain",15005,"Services,Solar","Spain-based company offering consultancy, financial and tax advising services to companies engaged in solar photovoltaic related services and products.",,
"Ampair Boost Energy Systems Ltd",,"United Kingdom","RG42 5RH","Solar,Wind energy","A MCS-certified distributor of solar panels, micro wind turbines, inverters and other small-scale power products.",,
"Amper Central Solar SA",,"Moura, Portugal","7860 231",Solar,"Portugal-based solar PV project developer.",,
"Amphenol Sustainable Energy","40-60 Delaware Ave, Sidney NY 13838","Sidney, New York,United States",13838,Solar,,http://www.amphenol-industrial.com/,
"Ampulse Corporation","1767-A Denver West Boulevard","Golden, Colorado",80401,Solar,"Thin-Film PV",http://www.ampulse.com/,"Rockies Area"
